EPA ID,Site Name,City,County,State,National Priorities List Status,Superfund Alternative Approach,Construction Complete,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Region,Site ID,Address,Zip,FF Ind,NAI,Native American Entity (NAI Status),Latitude,Longitude,NPL Status Date
AL3210020027,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),ANNISTON,CALHOUN,AL,Final NPL,No ,No ,No ,Yes,Yes,4.0,400443.0,OFF AL HWY 202,36253.0,Y,N,,33.659439,-85.969439,03/13/89
AL6210020008,ALABAMA ARMY AMMUNITION PLANT,CHILDERSBURG,TALLADEGA,AL,Final NPL,No ,No ,No ,Insufficient Data,Yes,4.0,400449.0,STATE HWY 235,35044.0,Y,N,,33.3381,-86.3268,07/22/87
AL7210020742,USARMY/NASA REDSTONE ARSENAL,HUNTSVILLE,MADISON,AL,Final NPL,No ,No ,No ,Yes,No,4.0,405545.0,Postal Address is unavailable for the Site,35808.0,Y,N,,34.646944,-86.673055,05/31/94
ALD000400123,ANNISTON PCB SITE (MONSANTO CO),ANNISTON,CALHOUN,AL,Not NPL,Yes,No ,No ,No,Insufficient Data,,,,,,,,,,
ALD001221902,CIBA-GEIGY CORP. (MCINTOSH PLANT),MCINTOSH,WASHINGTON,AL,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,400073.0,OFF HWY 43,36553.0,N,N,,31.279,-87.9955,09/21/84
ALD004022448,"ALABAMA PLATING COMPANY, INC.",VINCENT,SHELBY,AL,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,400129.0,570 HIGHWAY 231 NORTH,35178.0,N,N,,33.399722,-86.405,09/18/12
ALD007454085,T.H. AGRICULTURE & NUTRITION CO. (MONTGOMERY PLANT),MONTGOMERY,MONTGOMERY,AL,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,404285.0,3017 BIRMINGHAM HWY,36108.0,N,N,,32.3761,-86.3791,08/30/90
ALD008161176,STAUFFER CHEMICAL CO. (LEMOYNE PLANT),AXIS,MOBILE,AL,Final NPL,No ,No ,No ,Yes,Yes,4.0,400144.0,13440 Highway 43 North,36505.0,N,N,,30.969439,-88.0175,09/21/84
ALD008188708,OLIN CORP. (MCINTOSH PLANT),MCINTOSH,WASHINGTON,AL,Final NPL,No ,No ,No ,Yes,Yes,4.0,400153.0,OLIN RD,36553.0,N,N,,31.263889,-87.99445,09/21/84
ALD031618069,MOWBRAY ENGINEERING CO.,GREENVILLE,BUTLER,AL,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,4.0,404343.0,JCT OF 2ND & BEELAND STS,36037.0,N,N,,31.831669,-86.61305,12/30/93
ALD041906173,INTERSTATE LEAD CO. (ILCO),LEEDS,JEFFERSON,AL,Final NPL,No ,Yes,No ,Yes,Yes,4.0,404344.0,"8551 Borden Ave. SE,",35094.0,N,N,,33.539016,-86.533258,06/10/86
ALD095688875,STAUFFER CHEMICAL CO. (COLD CREEK PLANT),BUCKS,MOBILE,AL,Final NPL,No ,No ,No ,Yes,Yes,4.0,400306.0,13500 US HWY 43 North,36512.0,N,N,,30.975,-88.021389,09/21/84
ALD980728703,PERDIDO GROUND WATER CONTAMINATION,PERDIDO,BALDWIN,AL,Deleted NPL,No ,Yes,Yes,Yes,Yes,4.0,404345.0,COUNTY RD 47 S,36562.0,N,N,,31.0125,-87.625,05/16/17
ALD980844385,"REDWING CARRIERS, INC. (SARALAND)",SARALAND,MOBILE,AL,Deleted NPL,No ,Yes,Yes,Yes,Yes,4.0,400417.0,527 US HWY 43,36571.0,N,N,,30.808331,-88.073061,09/28/15
ALD981868466,AMERICAN BRASS INC.,HEADLAND,HENRY,AL,Final NPL,No ,Yes,Yes,Yes,Yes,4.0,406299.0,HIGHWAY 134 WEST,36345.0,N,N,,31.325,-85.404167,05/10/99
ALD983166299,TRIANA/TENNESSEE RIVER,LIMESTONE/MORGAN,[Blank County],AL,Final NPL,No ,Yes,No ,Yes,Not a Groundwater Site,4.0,405546.0,USAMICOM DRSMI KL,35898.0,N,N,,34.623503,-86.694499,09/08/83
ALN000410750,35TH AVENUE,BIRMINGHAM,JEFFERSON,AL,Proposed NPL,No ,No ,No ,Status Unavailable,Status Unavailable,4.0,410750.0,3500 35TH N.,35207.0,N,N,,33.557464,-86.799671,09/22/14
ARD000023440,"VERTAC, INC.",JACKSONVILLE,PULASKI,AR,Final NPL,No ,Yes,No ,No,Yes,6.0,600023.0,MARSHALL RD,72076.0,N,N,,34.878,-92.1312,09/08/83
ARD008049207,MACMILLAN RING FREE OIL,NORPHLET,UNION,AR,Final NPL,No ,No ,No ,Yes,Yes,6.0,600064.0,MACMILLAN ROAD OFF ARKANSAS HIGHWAY 335,71759.0,N,N,,33.30836,-92.65688,05/12/14
ARD008052508,"POPILE, INC.",EL DORADO,UNION,AR,Final NPL,No ,Yes,Yes,Yes,Yes,6.0,603790.0,SOUTHFIELD RD. APPROX. 1/2 MI S OF CITY,71730.0,N,N,,33.1825,-92.673333,10/14/92
ARD035662469,GURLEY PIT,EDMONDSEN,CRITTENDEN,AR,Deleted NPL,No ,Yes,Yes,Yes,Yes,6.0,600077.0,1 MI N OF EDMONDSON,72332.0,N,N,,35.1209,-90.3116,11/06/03
ARD042755231,OUACHITA NEVADA WOOD TREATER,READER,OUACHITA,AR,Final NPL,No ,Yes,No ,Yes,Yes,6.0,604486.0,N OF HWY 368 APPROX. 1/4 MI N OF READER,71726.0,N,N,,33.759453,-93.104258,05/11/00
ARD049658628,MOUNTAIN PINE PRESSURE TREATING,PLAINVIEW,YELL,AR,Final NPL,No ,Yes,No ,Yes,Yes,6.0,603651.0,HIGHWAY 28,72857.0,N,N,,34.984167,-93.302222,07/22/99
ARD059636456,FRIT INDUSTRIES,WALNUT RIDGE,LAWRENCE,AR,Deleted NPL,No ,No ,No ,Yes,Yes,6.0,600106.0,INDUSTRIAL PARK,72476.0,N,N,,36.105,-90.941669,10/14/97
ARD084930148,"ARKWOOD, INC.",OMAHA,BOONE,AR,Final NPL,No ,Yes,No ,Yes,Yes,6.0,600124.0,S. OF CITY @ CRICKETT RR JUNC.,72662.0,N,N,,36.445,-93.1964,03/31/89
ARD092916188,MID-SOUTH WOOD PRODUCTS,MENA,POLK,AR,Final NPL,No ,Yes,No ,Yes,Yes,6.0,600136.0,HWY 71 SOUTH,71953.0,N,N,,34.5697,-94.2566,09/08/83
ARD980496186,CECIL LINDSEY,NEWPORT,JACKSON,AR,Deleted NPL,No ,Yes,Yes,Yes,Yes,6.0,600151.0,SEC 32 T12N R2W,72112.0,N,N,,35.6349,-91.2255,09/22/89
ARD980496368,INDUSTRIAL WASTE CONTROL,FORT SMITH,SEBASTIAN,AR,Deleted NPL,No ,Yes,Yes,Yes,Yes,6.0,600163.0,BONANZA ROAD,72916.0,N,N,,35.2402,-94.3525,04/07/08
ARD980496723,SOUTH 8TH STREET LANDFILL,WEST MEMPHIS,CRITTENDEN,AR,Deleted NPL,No ,Yes,Yes,Yes,Yes,6.0,600184.0,SOUTH EIGHTH STREET,72301.0,N,N,,35.124444,-90.169444,09/28/04
ARD980745665,OLD MIDLAND PRODUCTS,OLA/BIRTA,YELL,AR,Final NPL,No ,Yes,Yes,Yes,Yes,6.0,600216.0,1/2 MI E ON HIGHWAY 10,72853.0,N,N,,35.025,-93.203889,06/10/86
ARD980809941,JACKSONVILLE MUNICIPAL LANDFILL,JACKSONVILLE,LONOKE,AR,Deleted NPL,No ,Yes,Yes,Yes,Yes,6.0,600236.0,GRAHAM RD,72076.0,N,N,,34.863331,-92.071661,03/14/00
ARD980864110,MONROE AUTO EQUIPMENT CO. (PARAGOULD PIT),PARAGOULD,GREENE,AR,Deleted NPL,No ,Yes,Yes,Yes,Yes,6.0,600246.0,HWY 358 2 1/2 MI W OF TOWN,72450.0,N,N,,36.020831,-90.575,09/29/14
ARD981055809,ROGERS ROAD MUNICIPAL LANDFILL,JACKSONVILLE,PULASKI,AR,Deleted NPL,No ,Yes,Yes,Yes,Yes,6.0,600269.0,ROGER RD 2/10MI S OF GRAHAM RD,72076.0,N,N,,34.8627,-92.0778,10/12/10
ARD990660649,CEDAR CHEMICAL CORPORATION,WEST HELENA,PHILLIPS,AR,Final NPL,No ,No ,No ,Yes,Yes,6.0,600295.0,49 PHILLIPS ROAD 311 (HIGHWAY 242 SOUTH),72342.0,N,N,,34.518611,-90.6525,09/18/12
ASD980637656,TAPUTIMU FARM,PAGO PAGO,[Blank County],AS,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,9.0,900467.0,TAPUTIMU ISLAND OF TUTUILA,96799.0,N,N,,-14.3601,-170.772,03/07/86
AZ0000309013,IRON KING MINE - HUMBOLDT SMELTER,DEWEY-HUMBOLDT,YAVAPAI,AZ,Final NPL,No ,No ,No ,No,Yes,9.0,905049.0,"PARTS OF SECS 15,16&22, TWP 13N, RNG 1E",86327.0,N,N,,34.5,-112.25,09/03/08
AZ0570024133,LUKE AIR FORCE BASE,GLENDALE,MARICOPA,AZ,Deleted NPL,No ,Yes,Yes,Yes,Yes,9.0,900884.0,S RT 8 YUMA THRU GILA BEND,85309.0,Y,N,,33.54,-112.3567,04/22/02
AZ0971590062,YUMA MARINE CORPS AIR STATION,YUMA,YUMA,AZ,Final NPL,No ,Yes,No ,No,Insufficient Data,9.0,900885.0,AVENUE 3E,85369.0,Y,N,,32.654581,-114.5888,02/21/90
AZ7570028582,WILLIAMS AIR FORCE BASE,CHANDLER,MARICOPA,AZ,Final NPL,No ,No ,No ,Yes,No,9.0,900890.0,WILLIAMS AFB 6001 SOUTH POWER ROAD,85224.0,Y,N,,33.30695,-111.6519,11/21/89
AZD008397127,ASARCO HAYDEN PLANT,HAYDEN,GILA,AZ,Not NPL,Yes,No ,No ,No,Yes,,,,,,,,,,
AZD008399263,APACHE POWDER CO.,SAINT DAVID,COCHISE,AZ,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,900510.0,1436 S APACHE POWDER RD,85630.0,N,N,,31.88,-110.24,08/30/90
AZD009004177,"MOTOROLA, INC. (52ND STREET PLANT)",PHOENIX,MARICOPA,AZ,Final NPL,No ,No ,No ,Insufficient Data,No,9.0,900517.0,5005 E MCDOWELL RD,85008.0,N,N,,33.461669,-111.9708,10/04/89
AZD094524097,CYPRUS TOHONO MINE,CASA GRANDE,PINAL,AZ,Not NPL,Yes,No ,No ,Yes,Insufficient Data,,,,,,,,,,
AZD980496780,NINETEENTH AVENUE LANDFILL,PHOENIX,MARICOPA,AZ,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,9.0,900648.0,19TH AVE,85041.0,N,N,,33.416669,-112.0917,09/25/06
AZD980695902,PHOENIX-GOODYEAR AIRPORT AREA,GOODYEAR,MARICOPA,AZ,Final NPL,No ,No ,No ,Yes,No,9.0,900672.0,BETWEEN LWR BUCKEYE ROAD & VAN BUREN,85338.0,N,N,,33.429719,-112.3653,09/08/83
AZD980695969,INDIAN BEND WASH AREA,SCOTTSDALE,MARICOPA,AZ,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,900673.0,MCDOWELL RD & HAYDEN,85253.0,N,N,,33.466669,-111.9083,09/08/83
AZD980735666,HASSAYAMPA LANDFILL,ARLINGTON,MARICOPA,AZ,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,900677.0,32450 West Salome Highway,85322.0,N,N,,33.368331,-112.7483,07/22/87
AZD980735724,MOUNTAIN VIEW MOBILE HOME ESTATES,GLOBE,GILA,AZ,Deleted NPL,No ,Yes,Yes,Yes,Not a Groundwater Site,9.0,900679.0,RTE 77,85501.0,N,N,,33.3728,-110.7332,04/18/88
AZD980737530,TUCSON INTERNATIONAL AIRPORT AREA,TUCSON,PIMA,AZ,Final NPL,No ,No ,No ,Yes,No,9.0,900684.0,NOGALES HWY,85734.0,N,Y,Tohono O'odham Nation of Arizona (Current),32.105561,-110.9333,09/08/83
CA0001576081,AMCO CHEMICAL,OAKLAND,ALAMEDA,CA,Final NPL,No ,No ,No ,Yes,No,9.0,905334.0,1414 THIRD STREET,94607.0,N,N,,37.8025,-122.29375,09/29/03
CA0001900463,NEW IDRIA MERCURY MINE,IDRIA,SAN BENITO,CA,Final NPL,No ,No ,No ,Insufficient Data,Not a Groundwater Site,9.0,905346.0,"TOWNSHIP: 17S, RANGE: 12E",95043.0,N,N,,36.418392,-120.672511,09/16/11
CA0210020780,SACRAMENTO ARMY DEPOT,SACRAMENTO,SACRAMENTO,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,902715.0,8350 FRUITRIDGE RD,95813.0,Y,N,,38.520281,-121.3958,07/22/87
CA1141190578,KLAU/BUENA VISTA MINE,PASO ROBLES,SAN LUIS OBISPO,CA,Final NPL,No ,No ,No ,No,Insufficient Data,9.0,903986.0,344 KLAU MINE RD.,93446.0,N,N,,35.6259,-120.8967,04/19/06
CA1170090087,HUNTERS POINT NAVAL SHIPYARD,SAN FRANCISCO,SAN FRANCISCO,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902722.0,HUNTERS POINT NAVAL SHIPYARD,94124.0,Y,N,,37.72229,-122.36732,11/21/89
CA1570024504,EDWARDS AIR FORCE BASE,EDWARDS AFB,KERN,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902725.0,"AFFTC EDWARDS AFB 5 EAST  POPSON AVE, BLDG 2650A",93524.0,Y,N,,34.949439,-117.8857,08/30/90
CA2170023236,ALAMEDA NAVAL AIR STATION,ALAMEDA,ALAMEDA,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902731.0,W END CITY OF ALAMEDA,94501.0,Y,N,,37.788889,-122.33,07/22/99
CA2170023533,CAMP PENDLETON MARINE CORPS BASE,CAMP PENDLETON,SAN DIEGO,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902732.0,CAMP PENDLETON MARINE BASE,92055.0,Y,N,,33.306669,-117.3408,11/21/89
CA2170090078,MOFFETT FIELD NAVAL AIR STATION,MOFFETT FIELD,SANTA CLARA,CA,Final NPL,No ,No ,No ,Yes,No,9.0,902734.0,MOFFETT FIELD NAS,94035.0,Y,N,,37.411389,-122.0522,07/22/87
CA2570024453,GEORGE AIR FORCE BASE,VICTORVILLE,SAN BERNARDINO,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902737.0,AIR BASE RD- NR ST RTE 395,92392.0,Y,N,,34.595,-117.3833,02/21/90
CA2890012584,"LAWRENCE LIVERMORE NATL LAB, MAIN SITE (USDOE)",LIVERMORE,ALAMEDA,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,902740.0,7000 EAST AVE,94550.0,Y,N,,37.688061,-121.7047,07/22/87
CA2890090002,LAWRENCE LIVERMORE NATL LAB (SITE 300) (USDOE),TRACY,SAN JOAQUIN,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902742.0,CORRAL HOLLOW ROAD,95376.0,Y,N,,37.644306,-121.576667,08/30/90
CA2890190000,LABORATORY FOR ENERGY-RELATED HEALTH RESEARCH/OLD CAMPUS LANDFILL (USDOE),DAVIS,SOLANO,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,904786.0,OLD DAVIS RD,95616.0,Y,N,,38.51875,-121.75125,05/31/94
CA3570024551,CASTLE AIR FORCE BASE (6 AREAS),MERCED,MERCED,CA,Final NPL,No ,Yes,Yes,Insufficient Data,Yes,9.0,902751.0,CASTLE AFB,95342.0,Y,N,,37.367361,-120.5636,07/22/87
CA4570024337,MCCLELLAN AIR FORCE BASE (GROUND WATER CONTAMINATION),MCCLELLAN AFB,SACRAMENTO,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902759.0,APPROX 5200 WATT AVE,95652.0,Y,N,,38.66,-121.3994,07/22/87
CA4570024345,NORTON AIR FORCE BASE (LNDFLL #2),SAN BERNARDINO,SAN BERNARDINO,CA,Final NPL,No ,Yes,No ,Insufficient Data,Yes,9.0,902760.0,I-10/US 395 FORMER NORTON AFB,92408.0,Y,N,,34.098061,-117.2372,07/22/87
CA4570024527,MARCH AIR FORCE BASE,RIVERSIDE,RIVERSIDE,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902761.0,22 CSG/CC,92518.0,Y,N,,33.906389,-117.2557,11/21/89
CA4971520834,TRACY DEFENSE DEPOT (USARMY),TRACY,SAN JOAQUIN,CA,Final NPL,No ,Yes,No ,Yes,Yes,9.0,902762.0,CHRISMAN RD,95376.0,Y,N,,37.715281,-121.3911,08/30/90
CA5570024575,TRAVIS AIR FORCE BASE,TRAVIS AFB,SOLANO,CA,Final NPL,No ,No ,No ,Insufficient Data,Yes,9.0,902767.0,TRAVIS AFB,94535.0,Y,N,,38.26445,-121.9332,11/21/89
CA6170023208,EL TORO MARINE CORPS AIR STATION,EL TORO,ORANGE,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902770.0,EL TORO MARINE CORPS AIR STA EL TORO M C A S,92709.0,Y,N,,33.676669,-117.7176,02/21/90
CA7170024528,CONCORD NAVAL WEAPONS STATION,CONCORD,CONTRA COSTA,CA,Final NPL,No ,No ,No ,Yes,Insufficient Data,9.0,902778.0,PORT CHICAGO HWY,94520.0,Y,N,,38.049444,-122.0,12/16/94
CA7210020676,FORT ORD,MARINA,MONTEREY,CA,Final NPL,No ,No ,No ,No,Yes,9.0,902783.0,FORMER ARMY BASE FORT ORD,93933.0,Y,N,,36.625,-121.75,02/21/90
CA7210020759,RIVERBANK ARMY AMMUNITION PLANT,RIVERBANK,STANISLAUS,CA,Final NPL,No ,Yes,No ,Yes,Yes,9.0,902785.0,5300 CLAUS RD,95367.0,Y,N,,37.71695,-120.9181,02/21/90
CA8170024261,BARSTOW MARINE CORPS LOGISTICS BASE,BARSTOW,SAN BERNARDINO,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,902790.0,MARINE CORPS LOGIS BASE- NEBO,92311.0,Y,N,,34.878331,-116.9389,11/21/89
CA8210020832,SHARPE ARMY DEPOT,LATHROP,SAN JOAQUIN,CA,Final NPL,No ,Yes,No ,No,No,9.0,902792.0,700 EAST ROTH RD,95330.0,Y,N,,37.829169,-121.2672,07/22/87
CA8570024143,MATHER AIR FORCE BASE (AC&W DISPOSAL SITE),MATHER,SACRAMENTO,CA,Final NPL,No ,Yes,No ,Insufficient Data,Yes,9.0,902793.0,MATHER AIR FORCE BASE,95655.0,Y,N,,38.55695,-121.2972,07/22/87
CA9800013030,JET PROPULSION LABORATORY (NASA),PASADENA,LOS ANGELES,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,903438.0,4800 OAK GROVE DR,91109.0,Y,N,,34.201185,-118.167434,10/14/92
CAD000074120,MGM BRAKES,CLOVERDALE,SONOMA,CA,Deleted NPL,No ,Yes,Yes,Yes,Yes,9.0,900899.0,HWY 101 & SANTANA RD,95425.0,N,N,,38.784,-123.0109,09/16/19
CAD000625731,J.H. BAXTER & CO.,WEED,SISKIYOU,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,900917.0,422 MILL ST,96094.0,N,N,,41.4364,-122.3707,10/04/89
CAD000626176,DEL NORTE PESTICIDE STORAGE,CRESCENT CITY,DEL NORTE,CA,Deleted NPL,No ,Yes,Yes,Yes,Yes,9.0,900923.0,2650 WASHINGTON BLVD,95531.0,N,N,,41.773331,-124.2317,09/18/02
CAD001864081,WESTINGHOUSE ELECTRIC CORP. (SUNNYVALE PLANT),SUNNYVALE,SANTA CLARA,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,900956.0,401 HENDY AVENUE,95117.0,N,N,,37.3787,-122.0225,06/10/86
CAD008242711,MONTROSE CHEMICAL CORP.,TORRANCE,LOS ANGELES,CA,Final NPL,No ,No ,No ,No,No,9.0,900993.0,20201 S NORMANDIE AVE,90502.0,N,N,,33.848331,-118.2983,10/04/89
CAD008339467,JERVIS B. WEBB CO.,SOUTH GATE,LOS ANGELES,CA,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,9.0,904837.0,9301 RAYO AVE AND 5030 FIRESTONE BLVD,90280.0,N,N,,33.950325,-118.178017,05/10/12
CAD009103318,JASCO CHEMICAL CORP.,MOUNTAIN VIEW,SANTA CLARA,CA,Deleted NPL,No ,Yes,Yes,Yes,Yes,9.0,901126.0,1710 VILLA ST,94041.0,N,N,,37.3988,-122.0882,09/30/20
CAD009106220,T.H. AGRICULTURE & NUTRITION CO.,FRESNO,FRESNO,CA,Deleted NPL,No ,Yes,Yes,Yes,Yes,9.0,901128.0,7183 E MCKINLEY AVE,93727.0,N,N,,36.764728,-119.660501,08/21/06
CAD009106527,MCCORMICK & BAXTER CREOSOTING CO.,STOCKTON,SAN JOAQUIN,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,901129.0,1214 W WASHINGTON ST,95203.0,N,N,,37.947851,-121.306635,10/14/92
CAD009111444,TELEDYNE SEMICONDUCTOR,MOUNTAIN VIEW,SANTA CLARA,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,901134.0,1300 TERRA BELLA AVE,94043.0,N,N,,37.4108,-122.0797,07/22/87
CAD009112087,"KOPPERS CO., INC. (OROVILLE PLANT)",OROVILLE,BUTTE,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,901135.0,BAGGETT-MARYSVILLE RD,95965.0,N,N,,39.470831,-121.5643,09/21/84
CAD009138488,"SPECTRA-PHYSICS, INC.",MOUNTAIN VIEW,SANTA CLARA,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,900252.0,1250 W MIDDLEFIELD RD,94042.0,N,N,,37.40805,-122.0786,02/11/91
CAD009159088,"TRW MICROWAVE, INC (BUILDING 825)",SUNNYVALE,SANTA CLARA,CA,Final NPL,No ,Yes,No ,Yes,Yes,9.0,901181.0,825 STEWART DR,94086.0,N,N,,37.3846,-122.0085,02/21/90
CAD009205097,RAYTHEON CORP.,MOUNTAIN VIEW,SANTA CLARA,CA,Final NPL,No ,Yes,No ,Insufficient Data,No,9.0,901202.0,350 ELLIS ST,94043.0,N,N,,37.3975,-122.0533,06/10/86
CAD009212838,"CTS PRINTEX, INC.",MOUNTAIN VIEW,SANTA CLARA,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,901206.0,PLYMOUTH & COLONY STS,94043.0,N,N,,37.4165,-122.0872,02/21/90
CAD009688052,HALACO ENGINEERING COMPANY,OXNARD,VENTURA,CA,Final NPL,No ,No ,No ,Insufficient Data,Insufficient Data,9.0,901242.0,6200 PERKINS,93033.0,N,N,,34.138889,-119.181944,09/19/07
CAD020748125,CASMALIA RESOURCES,CASMALIA,SANTA BARBARA,CA,Final NPL,No ,No ,No ,Yes,Yes,9.0,901257.0,3300 NTU ROAD,93429.0,N,N,,34.863125,-120.544303,09/13/01
CAD029295706,LORENTZ BARREL & DRUM CO.,SAN JOSE,SANTA CLARA,CA,Final NPL,No ,Yes,Yes,Yes,Insufficient Data,9.0,901287.0,1515 S 10TH ST,95112.0,N,N,,37.318611,-121.8644,10/04/89
CAD029452141,SELMA PRESSURE TREATING COMPANY,SELMA,FRESNO,CA,Final NPL,No ,Yes,Yes,Yes,No,9.0,901290.0,1735 DOCKERY AVE & ADJOINING,93662.0,N,N,,36.556669,-119.6017,09/08/83
CAD029544731,DEL AMO,LOS ANGELES,LOS ANGELES,CA,Final NPL,No ,No ,No ,Yes,No,9.0,901293.0,DEL AMO BLVD AND VERMONT AVE,90502.0,N,N,,33.846639,-118.289472,09/05/02
CAD041472341,INTERSIL INC./SIEMENS COMPONENTS,CUPERTINO,SANTA CLARA,CA,Final NPL,No ,Yes,No ,Yes,Yes,9.0,901325.0,10900 N TANTAU AVE/19000 HOMESTEAD RD,95014.0,N,N,,37.3361,-122.0015,08/30/90
CAD041472986,NATIONAL SEMICONDUCTOR CORP.,SANTA CLARA,SANTA CLARA,CA,Final NPL,No ,Yes,No ,Insufficient Data,Yes,9.0,901326.0,2900 SEMICONDUCTOR AVE,95050.0,N,N,,37.375281,-121.9989,07/22/87
CAD042245001,OMEGA CHEMICAL CORPORATION,WHITTIER,LOS ANGELES,CA,Final NPL,No ,No ,No ,Yes,No,9.0,903349.0,12504 AND 12512 E. WHITTIER BOULEVARD,90602.0,N,N,,33.969722,-118.042222,01/19/99
CAD042728840,APPLIED MATERIALS,SANTA CLARA,SANTA CLARA,CA,Final NPL,No ,Yes,Yes,Yes,Yes,9.0,901344.0,3050 BOWERS AVE,95051.0,N,N,,37.3777,-121.9777,07/22/87
CAD048634059,"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,SANTA CLARA,CA,Final NPL,No ,Yes,No ,Yes,Yes,9.0,901389.0,901 THOMPSON PL,94086.0,N,N,,37.3825,-122.0086,06/10/86
